,Status,City,State,ServicePop,Restoration
325,Does not do them,Leominster,Massachusetts,40490,NA
376,Does not do them,Carson City,Nevada,56000,NA
390,Does not do them,Newark,New Jersey,NA,NA
400,Does not do them,Albany,New York,101082,NA
403,Does not do them,New York City,New York,8271000,NA
634,Does not do them,Eau Claire,Wisconsin,NA,NA
635,Does not do them,Green Bay,Wisconsin,NA,NA
636,Does not do them,Madison,Wisconsin,NA,NA
637,Does not do them,Milwaukee,Wisconsin,NA,Y
554,EXPIRED moratorium,League City,Texas,104857,N
219,Moratorioum,Hawai'i Department of Water Supply,Hawaii,145235,N
222,Moratorioum,Pocatello,Idaho,56266,N
249,Moratorioum,Rolling Meadows,Illinois,24099,N
369,Moratorioum,Neosho,Missouri,12157,N
424,Moratorioum,Harnett Regional Water,North Carolina,NA,N
530,Moratorioum,Athens Utility Board,Tennessee,24610,N
543,Moratorioum,Big Spring,Texas,27282,N
559,Moratorioum,Plano,Texas,277720,N
599,Moratorioum,Alderwood Water District ,Washington,NA,N
601,Moratorioum,Bellingham ,Washington,NA,N
605,Moratorioum,Everett,Washington,NA,N
606,Moratorioum,Lacey,Washington,NA,N
609,Moratorioum,Lakewood Water District,Washington,NA,N
611,Moratorioum,Marysville,Washington,NA,N
612,Moratorioum,Northshore Utility District,Washington,NA,N
613,Moratorioum,Olympia,Washington,NA,N
619,Moratorioum,Renton,Washington,NA,N
620,Moratorioum,Sammish Plateau ,Washington,NA,Y
622,Moratorioum,Skagit County PUD 1 ,Washington,NA,N
628,Moratorioum,Vancouver,Washington,NA,N
1,Moratorium,Birmingham,Alabama,585000,N
2,Moratorium,Decatur,Alabama,77100,N
3,Moratorium,Mobile,Alabama,305850,N
4,Moratorium,Piedmont,Alabama,8184,N
5,Moratorium,Anchorage,Alaska,221351,N
6,Moratorium,City and Borough of Juneau,Alaska,38526,N
7,Moratorium,Kenai ,Alaska,8375,N
8,Moratorium,Rural Utility Collaborative,Alaska,10360,Y
9,Moratorium,Soldotna ,Alaska,5057,N
10,Moratorium,Apache Junction,Arizona,13657,N
11,Moratorium,Buckeye,Arizona,38070,N
12,Moratorium,Chandler ,Arizona,247328,N
13,Moratorium,Flagstaff,Arizona,67000,N
14,Moratorium,Gilbert,Arizona,247600,N
15,Moratorium,Glendale,Arizona,234766,N
16,Moratorium,Goodyear,Arizona,50001,N
17,Moratorium,Mesa,Arizona,466000,N
18,Moratorium,Peoria,Arizona,135975,N
19,Moratorium,Phoenix ,Arizona,1579000,Y
20,Moratorium,Queen Creek,Arizona,81919,N
21,Moratorium,Scottsdale,Arizona,230000,N
22,Moratorium,Springerdale,Arizona,1972,N
23,Moratorium,Surprise,Arizona,31649,N
24,Moratorium,Tempe,Arizona,165000,Y
25,Moratorium,Tucson,Arizona,675686,N
26,Moratorium,Benton,Arkansas,30681,Y
27,Moratorium,Central Arkansas Water,Arkansas,330667,Y
28,Moratorium,Fayetteville,Arkansas,102878,N
29,Moratorium,Helena-West Helena,Arkansas,5693,N
30,Moratorium,Hot Springs,Arkansas,92020,N
31,Moratorium,Jonesboro,Arkansas,79864,N
32,Moratorium,Pea Ridge,Arkansas,7273,N
33,Moratorium,Rodgers,Arkansas,70878,N
34,Moratorium,Springdale,Arkansas,90235,N
35,Moratorium,Statewide (regulated),Arkansas,44730,N
36,Moratorium,Alameda County,California,NA,N
37,Moratorium,Anaheim ,California,NA,N
38,Moratorium,Arcadia,California,NA,N
39,Moratorium,Arcata,California,NA,N
40,Moratorium,Azusa,California,NA,N
41,Moratorium,Beaumont-Cherry Valley Water District,California,NA,N
42,Moratorium,Benicia,California,NA,N
43,Moratorium,Burbank,California,NA,N
44,Moratorium,California City,California,NA,N
45,Moratorium,Carlsbad,California,NA,N
46,Moratorium,Cerritos,California,NA,N
47,Moratorium,Coachella Valley Water District,California,NA,N
48,Moratorium,Colton,California,NA,N
49,Moratorium,Corona,California,NA,N
50,Moratorium,Davis,California,NA,N
51,Moratorium,Desert water Agency,California,NA,N
52,Moratorium,East Valley Water District,California,NA,N
53,Moratorium,Eastern Municipal Water District,California,NA,N
54,Moratorium,EBMUD,California,NA,Y
55,Moratorium,El Centro,California,NA,N
56,Moratorium,Elsinore Valley Municipal Water District,California,NA,N
57,Moratorium,Eureka,California,NA,N
58,Moratorium,Fortuna,California,NA,N
59,Moratorium,Garden Grove,California,NA,N
60,Moratorium,Glendale,California,NA,N
61,Moratorium,Healdsburg,California,NA,N
62,Moratorium,Helix Water District,California,NA,N
63,Moratorium,Hesperia,California,NA,N
64,Moratorium,Irvine Ranch Water District ,California,NA,N
65,Moratorium,Las Virgenes MWD,California,NA,N
66,Moratorium,Lathrop ,California,NA,N
67,Moratorium,Lodi,California,NA,N
68,Moratorium,Lompoc,California,NA,N
69,Moratorium,Long Beach,California,NA,N
70,Moratorium,Los Angeles,California,NA,Y
71,Moratorium,Los Angeles Countywide,California,NA,Y
72,Moratorium,Marin Municipal Water District,California,NA,N
73,Moratorium,McKinleyville CSD,California,NA,N
74,Moratorium,Morro Bay,California,NA,N
75,Moratorium,Napa,California,NA,N
76,Moratorium,Needles,California,NA,N
77,Moratorium,Nevada Irrigation District,California,NA,N
78,Moratorium,Oceanside,California,NA,N
79,Moratorium,Otay Water District,California,NA,N
80,Moratorium,Oxnard,California,NA,N
81,Moratorium,Palo Alto,California,NA,N
82,Moratorium,Pasadena,California,NA,N
83,Moratorium,Placer County Water Agency,California,NA,N
84,Moratorium,Portola,California,NA,N
85,Moratorium,Rancho,California,NA,N
86,Moratorium,Redding,California,NA,N
87,Moratorium,Rio Dell,California,NA,N
88,Moratorium,Riverside,California,NA,N
89,Moratorium,Roseville,California,NA,N
90,Moratorium,Sacramento,California,NA,N
91,Moratorium,San Bernardino ,California,NA,N
92,Moratorium,San Diego,California,NA,N
93,Moratorium,San Francisco,California,NA,N
94,Moratorium,San Jacinto ,California,NA,N
95,Moratorium,San Joaquin County,California,NA,N
96,Moratorium,San Juan Water District,California,NA,Y
97,Moratorium,Santa Ana,California,NA,N
98,Moratorium,Santa Clara,California,NA,N
99,Moratorium,Santa Clarita Valley,California,NA,N
100,Moratorium,Santa Paula,California,NA,N
101,Moratorium,Santa Rosa,California,NA,N
102,Moratorium,Shasta Lake,California,NA,N
103,Moratorium,Shelter Cove Resort Improvement District No. 1,California,NA,N
104,Moratorium,Signal Hill,California,NA,N
105,Moratorium,Soquel Creek Water District,California,NA,N
106,Moratorium,South Pasadena,California,NA,N
107,Moratorium,Statewide (all),California,39695376,N
108,Moratorium,Sweetwater,California,NA,N
109,Moratorium,Truckee Donner PUD,California,NA,N
110,Moratorium,Ukiah,California,NA,N
111,Moratorium,Vallecitos Water,California,NA,N
112,Moratorium,Vallejo,California,NA,N
113,Moratorium,Valley Center MWD,California,NA,N
114,Moratorium,Vernon,California,NA,N
115,Moratorium,Victorville,California,NA,N
116,Moratorium,Western Municipal Water District ,California,NA,N
117,Moratorium,Yorba Linda Water District,California,NA,N
118,Moratorium,Yurok Tribe,California,5000,Y
119,Moratorium,Aurora,Colorado,465501,N
120,Moratorium,Bennett,Colorado,3100,N
121,Moratorium,Berthoud ,Colorado,7540,N
122,Moratorium,Brighton,Colorado,36010,N
123,Moratorium,Colorado Springs,Colorado,442409,N
124,Moratorium,Del Norte,Colorado,1800,N
125,Moratorium,Denver,Colorado,1362071,Y
126,Moratorium,Louisville,Colorado,20319,N
127,Moratorium,Merino,Colorado,235,N
128,Moratorium,Pueblo West Metropolitan District,Colorado,30000,N
129,Moratorium,Statewide (Regulated),Colorado,764,N
130,Moratorium,Metropolitan District (MDC),Connecticut,390887,N
131,Moratorium,Regional Water Authority,Connecticut,418900,N
132,Moratorium,Statewide (regulated),Connecticut,981298,N
133,Moratorium,Washington,DC,632323,Y
134,Moratorium,Wilmington,Delaware,107976,N
135,Moratorium,Broward County,Florida,129927,N
136,Moratorium,Casselberry,Florida,54747,N
137,Moratorium,Charlotte County,Florida,128967,Y
138,Moratorium,Cocoa,Florida,294039,N
139,Moratorium,Collier County,Florida,171370,N
140,Moratorium,Cooper City,Florida,33752,N
141,Moratorium,Coral Springs,Florida,65000,N
